Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.653955   1490.598608   2452.607887   --undefined--   --undefined--
0.657705   1420.088846   2420.393671   --undefined--   --undefined--
0.661455   1348.580704   2401.454443   --undefined--   --undefined--
0.665205   1458.549909   2330.891756   --undefined--   --undefined--
0.668955   1596.954576   2061.463281   --undefined--   --undefined--
0.672705   1110.656955   2364.882728   --undefined--   --undefined--
0.676455   1208.199975   2448.731652   --undefined--   --undefined--
0.680205   1260.592866   2389.545648   --undefined--   --undefined--
0.683955   1278.217720   2261.742553   --undefined--   --undefined--
0.687705   1269.362194   2389.511129   --undefined--   --undefined--
0.691455   1292.374440   2434.857074   --undefined--   --undefined--
0.695205   1276.478777   2420.047571   --undefined--   --undefined--
0.698955   1287.705869   2403.344096   --undefined--   --undefined--
0.702705   1296.225158   2392.995748   --undefined--   --undefined--
0.706455   1273.433929   2369.334332   --undefined--   --undefined--
0.710205   1282.319649   2365.140977   --undefined--   --undefined--
0.713955   1271.795221   2309.533609   --undefined--   --undefined--
0.717705   1270.368641   2275.260000   --undefined--   --undefined--
0.721455   1267.257159   2238.670402   --undefined--   --undefined--
0.725205   1243.934392   2202.418588   --undefined--   --undefined--
0.728955   1258.416256   2190.039799   --undefined--   --undefined--
0.732705   1235.438732   2148.599470   --undefined--   --undefined--
0.736455   1218.334003   2111.630048   --undefined--   --undefined--
0.740205   1209.401871   2076.071675   --undefined--   --undefined--
0.743955   1167.605173   1952.178025   --undefined--   --undefined--
0.747705   1171.370031   1904.997655   --undefined--   --undefined--
0.751455   1211.802085   1779.113764   --undefined--   --undefined--
0.755205   1214.095427   1918.763917   --undefined--   --undefined--
0.758955   1161.579936   1858.212221   --undefined--   --undefined--
0.762705   1060.950826   1844.855552   --undefined--   --undefined--
0.766455   1048.240166   1890.904790   --undefined--   --undefined--
0.770205   989.036507   1797.279502   --undefined--   --undefined--
0.773955   986.843257   1924.906961   --undefined--   --undefined--
0.777705   957.777667   2182.686926   --undefined--   --undefined--
0.781455   948.146338   1940.057092   --undefined--   --undefined--
0.785205   944.845956   2154.784343   --undefined--   --undefined--
0.788955   1035.114070   2053.130515   --undefined--   --undefined--
0.792705   951.717234   1876.937774   --undefined--   --undefined--
0.796455   469.967030   1811.272920   --undefined--   --undefined--
0.800205   939.304094   1973.261796   --undefined--   --undefined--
0.803955   1369.448746   --undefined--   --undefined--   --undefined--
0.807705   1632.863826   --undefined--   --undefined--   --undefined--
0.811455   1578.568088   --undefined--   --undefined--   --undefined--
0.815205   1702.319415   --undefined--   --undefined--   --undefined--
