Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.590625   2602.174109   --undefined--   --undefined--   --undefined--
0.596875   657.329586   2375.862143   --undefined--   --undefined--
0.603125   646.049168   2357.628529   --undefined--   --undefined--
0.609375   2358.166174   --undefined--   --undefined--   --undefined--
0.615625   2382.481670   --undefined--   --undefined--   --undefined--
0.621875   2536.910738   --undefined--   --undefined--   --undefined--
0.628125   481.244387   2452.838298   --undefined--   --undefined--
0.634375   544.408805   2502.303273   --undefined--   --undefined--
0.640625   547.357876   2573.131561   --undefined--   --undefined--
0.646875   548.279893   2531.468733   --undefined--   --undefined--
0.653125   546.190269   2474.035077   --undefined--   --undefined--
0.659375   546.684610   2506.209194   --undefined--   --undefined--
0.665625   547.665065   2489.229097   --undefined--   --undefined--
0.671875   554.127903   2456.786180   --undefined--   --undefined--
0.678125   550.236729   2471.488159   --undefined--   --undefined--
0.684375   557.823370   2504.086428   --undefined--   --undefined--
0.690625   559.080921   2485.204164   --undefined--   --undefined--
0.696875   545.992536   2468.622414   --undefined--   --undefined--
0.703125   537.776307   2472.794033   --undefined--   --undefined--
0.709375   533.999223   2482.998782   --undefined--   --undefined--
0.715625   533.695539   2540.042753   --undefined--   --undefined--
0.721875   525.704744   2628.654783   --undefined--   --undefined--
0.728125   507.180756   2556.281466   --undefined--   --undefined--
0.734375   484.306940   2458.081633   --undefined--   --undefined--
0.740625   435.575298   2535.111552   --undefined--   --undefined--
0.746875   2586.327348   --undefined--   --undefined--   --undefined--
0.753125   2436.971135   --undefined--   --undefined--   --undefined--
0.759375   2495.497442   --undefined--   --undefined--   --undefined--
0.765625   2684.258496   --undefined--   --undefined--   --undefined--
0.771875   2390.776795   --undefined--   --undefined--   --undefined--
0.778125   2545.025507   --undefined--   --undefined--   --undefined--
0.784375   578.495940   2715.555104   --undefined--   --undefined--
0.790625   823.355061   2752.211166   --undefined--   --undefined--
0.796875   905.222835   2787.629570   --undefined--   --undefined--
0.803125   2686.023878   --undefined--   --undefined--   --undefined--
0.809375   653.697789   2776.238641   --undefined--   --undefined--
0.815625   1006.023924   2576.444132   --undefined--   --undefined--
0.821875   1411.085290   2389.037935   --undefined--   --undefined--
0.828125   1246.535724   2698.416071   --undefined--   --undefined--
0.834375   1184.758840   --undefined--   --undefined--   --undefined--
0.840625   1142.059996   2796.210223   --undefined--   --undefined--
0.846875   1216.816633   --undefined--   --undefined--   --undefined--
0.853125   1710.472822   --undefined--   --undefined--   --undefined--
0.859375   1622.654093   --undefined--   --undefined--   --undefined--
