Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.625000   196.014141
0.635000   189.781986
0.645000   188.584307
0.655000   186.053131
0.665000   184.495956
0.675000   180.610232
0.685000   178.773938
0.695000   176.394024
0.705000   173.628191
0.715000   171.804728
0.725000   169.202681
0.735000   162.953415
0.745000   154.231394
0.755000   143.256130
0.765000   135.371930
0.775000   135.270613
0.785000   138.773664
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
