Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
2.601652   187.136133   735.419605   1840.912422   2923.552905
2.621652   199.930335   640.857389   1783.547240   2909.988912
2.641652   208.565624   679.348296   1947.536596   3095.680422
2.661652   308.636020   1731.046433   3038.285402   3434.924909
2.681652   468.057829   1633.869878   2976.166011   3543.133114
2.701652   515.259218   1386.348758   2920.325335   3789.281672
2.721652   531.659981   1206.701988   2907.878079   3782.183015
2.741652   535.809885   1111.192239   2938.478452   3730.532346
2.761652   540.886506   1150.626823   2909.001490   3745.761748
2.781652   524.202498   1227.309602   2845.500587   3760.991929
2.801652   486.819701   1307.882108   2754.431339   3766.517102
2.821652   466.054318   1520.454095   2707.385638   3777.338872
2.841652   479.587862   1997.248122   2658.230563   3797.712624
2.861652   475.203170   2245.222097   2701.832773   3820.434359
2.881652   451.895179   2279.804588   2838.138973   3838.634928
2.901652   428.376023   2306.087702   2893.531453   3884.259955
2.921652   410.372540   2350.000042   2932.861791   3894.822852
2.941652   379.651596   2374.367222   2993.906333   3900.675318
2.961652   362.912807   2472.553485   2995.213777   3975.639967
2.981652   350.226829   2455.728506   2992.442112   4055.833433
3.001652   358.401675   2367.097802   2938.438516   4119.433673
3.021652   370.278715   2281.115218   2900.421828   4179.209957
3.041652   371.152522   2190.590579   2890.912640   4203.895849
3.061652   345.233601   2008.371937   2814.511751   4226.808943
